ID	Hardness	Diameter	T-Flour	B-Flour	SRC-W
GID247	72.08981438	2.601197217	68.24377703	48.05982289	63.56023915
GID248	75.4913457	2.778244708	69.89540712	48.06271864	63.47687134
GID249	77.38201595	2.64273964	71.3989215	47.89912215	59.72345895
GID250	64.50526793	2.835392317	69.47045997	48.97524046	58.66747099
GID251	74.26250259	2.639188675	71.17177564	50.2309417	59.1365107
GID252	75.91933207	2.725205333	68.81706765	44.2003633	68.14874706
GID253	76.32313061	2.778962658	71.53650194	48.16638522	65.12442045
GID254	80.36811649	2.601050962	70.32916289	47.05631341	62.76577033
GID255	71.02383622	2.737695262	69.72056283	47.88393612	60.92713553
GID256	77.6092318	2.518266544	70.54705955	49.75496268	64.03689943
GID257	74.34398125	2.731971015	71.25007005	48.47490667	59.19615577
GID258	69.68151322	2.730986262	71.82727794	51.08998723	60.72092706
GID259	82.64602702	2.611624111	66.64392693	41.3743948	65.83967849
GID260	78.29669922	2.652543142	66.4632813	41.92421026	66.30577584
GID261	81.49577293	2.650249817	71.33468631	47.73167292	62.19093943
GID262	72.94815222	2.722446262	68.87567083	46.30536919	59.98237961
GID263	66.77252992	2.550083567	69.02056682	49.65287119	57.2701896
GID264	79.11317896	2.65114026	68.97820832	45.55560572	62.31999987
GID265	76.75900898	2.652007005	69.7705943	46.65445868	60.10004622
GID266	50.57733065	2.534409323	70.59246062	50.76600477	57.69684959
GID267	76.14673233	2.646506186	66.9669298	41.83653786	65.45760842
GID268	66.5699045	2.560761201	69.02210581	47.97439836	60.73251246
GID269	69.46780722	2.5555962	68.22783737	43.25728146	67.25588913
GID270	65.21168351	2.511207835	66.87757415	45.69598778	61.68266707
GID271	67.64515253	2.658274437	66.92899946	42.67190025	64.74647533
GID272	64.8402797	2.633472116	70.14663179	48.85360446	60.47268825
GID273	76.23161784	2.732130774	67.95108543	42.66013184	64.99438543
GID274	66.09919061	2.438769009	69.00188877	49.41666148	59.41832755
GID275	64.00272461	2.510160009	71.24116858	50.11841124	58.4899544
